the: то
swamped: завален
shilpa: шилпа
bramall: брамолл
rhyl: райл
surg: лейдига
post-independence: после обретения независимости
fritsch: фрич
devour: жрут
kinect: кинект
patera: патера
orientated: ориентированный
delimited: отграниченный
carcinogenic: канцерогенные
optimist: оптимист
stansfield: стэнсфилд
cubist: кубизма
sharpe's: Шарпа
post-colonial: постколониальный
helin: хелин
rothesay: ротсей
boilermakers: котельщики
lally: лалли
avar: авар
dorr: дорр
lamm: ламм
ohno: ооно
ruck: толчея
toomey: туми
daventry: давентри
intercepts: перехватывает
tippecanoe: типпекано
erectus: эректус
hussein's: Хусейна
flensburg: фленсбург
magick: магия
ahvaz: ахваз
bipedal: прямоходящих
bonnier: бонье
godin: годин
negotiators: переговорщики
rosslyn: росслин
capers: каперсы
heathland: пустоши
pleural: плевральной
unranked: нерейтинговых
supervillains: суперзлодеи
schulman: Шульман
rooftops: крыши
andronicus: Андроник
yoshiaki: есиаки
arica: арика
unsaturated: ненасыщенные
blossomed: зацвел
xiaoping: сяопин
etv: етв
psy: пси
kaduna: кадуну
migr: мигр
noto: ното
rnli: королевскому обществу спасания на водах
chipped: сколы
showa: Сева
stine: стине
formulaic: шаблонные
vermin: нечисть
descriptors: дескрипторы
meyer's: Мейер
blackwall: блэкуолл
aesop: эзоп
beano: гулянка
coals: угли
responsa: респонса
morphed: наложились
fsn: фсн
hod: ход
willcox: уилкокс
kelleher: келлехер
denier: денье
blackett: блэкетт
wanton: бессмысленное
dition: вию
transited: транзитом
earring: серьги
placental: плацентарная
stromberg: штромберг
kronstadt: Кронштадт
made-for-television: сделанный для телевидения
disgraceful: позорно
geetha: Гита
boylan: бойлан
wordplay: игра слов
sub-pages: подстраницы
rly: железная дорога
tut: тут
edirne: эдирне
marit: марит
duro: дуро
dargah: даргах
kunz: Кунц
equaled: равнялась
list-a: список-
arsenio: арсенио
chertsey: чертси
oakleigh: окли
vivre: вивре
sunburst: санберст
four-story: четырехэтажное
translink: транслинк
sundsvall: сундсвалль
remodel: переделывать
hartwig: хартвиг
diouf: диуф
gatti: гатти
untersuchungen: унтерсучунген
'l': 'л'
platformer: платформер
keren: керен
krupa: крупа
griffin's: Гриффин
deleterious: вредное
flange: фланец
zamo: замо
esperance: эсперанс
underlies: лежит
straws: соломинки
tzadik: цадик
hannity: хэннити
veronese: веронезе
marblehead: марблхед
coromandel: коромандель
flore: Флор
okazaki: окадзаки
skimmed: обезжиренное
lbc: ББК
insulator: изолятор
kenai: кенай
markt: маркт
seasoning: приправа
sheri: Шери
trade-off: компромисс
halfpipe: хафпайп
unicron: юникрон
novikov: Новиков
origination: возникновение
astrodome: астрокупол
stratocaster: стратокастер
fooling: одурачивание
blackness: темнота
banal: банально
tampines: тампинс
bangles: браслеты
smoothed: разглаживаются
shapefiles: шейп-файлы
newquay: ньюки
titania: титания
wipo: ВОИС
yuga: юга
nanna: нанна
fortin: фортин
sorkin: соркин
tokai: токай
wanamaker: уонамейкер
candide: кандид
whoopi: Вупи
sujatha: суджата
bahawalpur: бахавалпур
maisie: мэйзи
bache: баче
gotra: готра
steelhead: стальноголовый
deviated: отклонились
loner: одиночка
nena: ненаю
averse: нерасположенные
legislated: законодательствовало
propelling: метательные
switzer: свитцер
ludmila: Людмила
exuberant: буйный
tricolour: Триколор
monteith: монтейт
clerk's: писаря
excavating: раскопки
ziggurat: зиккурат
infamy: гнусность
haute-savoie: верхняя савойя
violeta: виолета
reconquest: завоевания
grn: грн
ustinov: Устинов
coutinho: коутиньо
on-field: на поле
nota: нота
northstar: нортстар
sanga: санга
dhawan: дхавана
kimble: кимбл
syntheses: синтезы
canopies: козырьки
bellaire: беллер
act's: закона
bivalves: двустворчатые
menopause: климакс
gec: жек
glanville: гланвиль
re-add: повторно добавить
begg: бегг
gyan: гьян
quai: набережная
vara: диспа
hyenas: гиены
reinvestment: реинвестиции
bustard: Дрофа
gujrat: гуджрате
kimono: кимоно
tinge: окраску
paymaster: кассиром
pendle: пендл
downtime: время простоя
optically: оптически
overseers: надсмотрщики
creuse: Крез
gyroscope: волчок
fistula: свищ
store's: магазин
safina: Сафина
paramore: парамор
horny: роговой
beamish: бимиш
viscountess: виконтесса
hors: Хорс
petes: питов
townley: таунли
plesetsk: Плесецк
sverige: Швеции
vilma: вилма
dolmen: дольмен
excels: первенствует
concha: конха
slowdown: замедление
screamed: завопили
getter: геттер
empiricism: эмпиризм
cuesta: куэстовых
zagora: Загора
embankments: Набережные
